price,province,title,type,taste,food
89.0,Lombardy,Bellavista Vittorio Moretti 2013,sparkling,crisp,fish
19.0,Sicily & Sardinia,Baglio di Pianetto 2007 Ficiligno White,white,sweet,fish
480.0,Veneto,Quintarelli Giuseppe Amarone della Valpolicella Classico 2009,red,sweet,red meat
13.0,Sicily,Stemmari 2013 Dalila White,white,dry,fish
10.0,Sicily,Stemmari 2013 Nero d'Avola,red,dry,red meat
17.0,Sicily,Terre di Giurfo 2011 Mascaria Barricato (Cerasuolo di Vittoria),red,sweet,red meat
25.0,Sicily,Passito di Pantelleria 2021,red,sweet,dessert
11.0,Apulia,Feudi di San Marzano 2011 I Tratturi Primitivo,red,dry,red meat
12.0,Apulia,Polvanera Brut Rose 2021,sparkling,crisp,fish
10.0,Apulia,Botromagno Verdeca di Gravina,white,sweet,fish
13.0,Sicily,Tasca d'Almerita 2011 Sallier de la Tour Inzolia,white,dry,white meat
24.0,Piedmont,Alta Langa Metodo Classico 2018,sparkling,crisp,white meat
13.0,Sicily,Tasca d'Almerita 2011 Sallier de la Tour Grillo,white,crisp,fish
17.0,Emilia Romagna,Podere dal Nespoli 2015 Prugneto Sangiovese,red,dry,red meat
14.0,Tuscany,Alie Rose Toscana 2021,rose,dry,white meat
29.0,Tuscany,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),white,dry,fish
19.0,Tuscany,Fattoria Sardi 2015 Rosato,rose, sweet,fish
30.0,Tuscany,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),red,dry,red meat
23.0,Tuscany,Lornano Vin Santo del Chianti Classico 2012,red,sweet,dessert
18.0,Piedmont,De Miranda Asti Spumante 2019,sparkling,sweet,dessert
30.0,Abruzzo,Cerasuolo d'Abruzzo 2019,red,dry,red meat
23.0,Tuscany,San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2017,red,sweet,white meat
75.0,Tuscany,Tenuta Moraia Perpiero 2019,red,dry,white meat
12.0,Lombardy,Bonarda Vivace 'Sabion' Berte Cordini 2020,red,crisp,red meat
12.0,Apulia,Aleatico Vinaccero 2016,red,sweet,dessert
50.0,Emilia-Romagna,Scacco Matto Albana di Romagna Passito 2020,white,sweet,dessert
12.0,Marche,Rosa dei Venti 2021,rose,dry,white meat
15.0,Lombardy,Podere dei Folli Preafete Chiaretto 2014,rose,crisp,fish
24.0,Apulia,Cantina Diomede Annibale Nero di Troia 2015,red,dry,red meat
17.0,Piedmont,Aimu Gewrztraminer 2020,white,dry,white meat
